t, viconX, viconY, viconZ, viconRo, viconPi, viconYa, uwbD, uwbAnt, uwbRspdX, uwbRspdY, uwbRspdZ, imuQx, imuQy, imuQz, imuQw
1499671970.575959921,-1.015603065,-1.873799562,0.222789139,-0.005215105,-0.002947026,1.589625120,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001448894,0.002621303,0.009418015,0.999951180
1499671970.591873646,-1.015603065,-1.873799562,0.222789139,-0.005215105,-0.002947026,1.589625120,2.894999981,4.000000000,0.000000000,0.000000000,1.514000000,-0.001448894,0.002621303,0.009418015,0.999951180
1499671970.608229876,-1.015567899,-1.873777628,0.222793192,-0.005218085,-0.002991676,1.589656234,2.474999905,1.000000000,0.000000000,0.000000000,1.514000000,-0.001471163,0.002623026,0.009433711,0.999950994
1499671970.624272346,-1.015593052,-1.873789907,0.222809240,-0.005222322,-0.002891932,1.589651108,2.216599941,2.000000000,0.000000000,0.000000000,1.514000000,-0.001421280,0.002624671,0.009431014,0.999951097
1499671970.640038252,-1.015593052,-1.873789907,0.222809240,-0.005222322,-0.002891932,1.589651108,2.693300009,3.000000000,0.000000000,0.000000000,1.514000000,-0.001421280,0.002624671,0.009431014,0.999951097
1499671970.655820370,-1.015593648,-1.873829246,0.222763568,-0.005218594,-0.002757598,1.589653373,2.898000002,4.000000000,0.000000000,0.000000000,1.514000000,-0.001354131,0.002622175,0.009431975,0.999951175
1499671970.672170162,-1.015584469,-1.873803496,0.222792208,-0.005193865,-0.002834080,1.589700937,2.453999996,1.000000000,0.000000000,0.000000000,1.514000000,-0.001392425,0.002610205,0.009455785,0.999950820
1499671970.688011885,-1.015584469,-1.873803496,0.222792208,-0.005193865,-0.002834080,1.589700937,2.260600090,2.000000000,0.000000000,0.000000000,1.514000000,-0.001392425,0.002610205,0.009455785,0.999950820
1499671970.703917265,-1.015584469,-1.873803496,0.222792208,-0.005193865,-0.002834080,1.589700937,2.681299925,3.000000000,0.000000000,0.000000000,1.514000000,-0.001392425,0.002610205,0.009455785,0.999950820
1499671970.719720125,-1.015610456,-1.873816848,0.222814739,-0.005241651,-0.002876031,1.589697957,2.933000088,4.000000000,0.000000000,0.000000000,1.514000000,-0.001413177,0.002634293,0.009454441,0.999950844
1499671970.736044407,-1.015610456,-1.873816848,0.222814739,-0.005241651,-0.002876031,1.589697957,2.440999985,1.000000000,0.000000000,0.000000000,1.514000000,-0.001413177,0.002634293,0.009454441,0.999950844
1499671970.751941919,-1.015577793,-1.873805165,0.222775787,-0.005164017,-0.002825237,1.589671612,2.253599882,2.000000000,0.000000000,0.000000000,1.514000000,-0.001388183,0.002595220,0.009441128,0.999951090
1499671970.768399954,-1.015587926,-1.873809099,0.222836748,-0.005099401,-0.003009399,1.589697242,2.695300102,3.000000000,0.000000000,0.000000000,1.514000000,-0.001480531,0.002563801,0.009454130,0.999950945
1499671970.783928394,-1.015587926,-1.873809099,0.222836748,-0.005099401,-0.003009399,1.589697242,2.894999981,4.000000000,0.000000000,0.000000000,1.514000000,-0.001480531,0.002563801,0.009454130,0.999950945
1499671970.800075769,-1.015575886,-1.873792171,0.222788855,-0.005264753,-0.002905554,1.589669704,2.441999912,1.000000000,0.000000000,0.000000000,1.514000000,-0.001427866,0.002645963,0.009440376,0.999950910
1499671970.816053391,-1.015575886,-1.873792171,0.222788855,-0.005264753,-0.002905554,1.589669704,2.213599920,2.000000000,0.000000000,0.000000000,1.514000000,-0.001427866,0.002645963,0.009440376,0.999950910
1499671970.832066059,-1.015588284,-1.873809695,0.222774923,-0.005237025,-0.002952591,1.589681864,2.685300112,3.000000000,0.000000000,0.000000000,1.514000000,-0.001451498,0.002632330,0.009446445,0.999950867
1499671970.847808123,-1.015572786,-1.873795629,0.222810790,-0.005124087,-0.002991954,1.589662313,2.890000105,4.000000000,0.000000000,0.000000000,1.514000000,-0.001471737,0.002576035,0.009436635,0.999951071
